,gu,dong,apt,addr,area,completion,transaction_ym,floor,price,price/pyeong,latitude,longitude
0,동작구,노량진동,노량진맨션,노량진동 227-5 노량진맨션,57.32,1974,201701,5,22000,1267,37.5076466,126.9418172
1,동작구,노량진동,우성,노량진동 323 우성,124.77,1997,201701,14,56700,1500,37.5096343,126.9478165
2,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,84.88,2001,201701,13,51500,2002,37.5074274,126.9451294
3,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,84.88,2001,201701,14,51000,1983,37.5074274,126.9451294
4,동작구,노량진동,쌍용예가,노량진동 332 쌍용예가,84.913,2010,201701,4,54100,2103,37.5099940,126.9436640
5,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,59.67,2001,201701,12,41000,2267,37.5074274,126.9451294
6,동작구,노량진동,쌍용예가,노량진동 332 쌍용예가,84.913,2010,201701,8,55500,2157,37.5099940,126.9436640
7,동작구,노량진동,우성,노량진동 323 우성,84.96,1997,201701,15,50300,1954,37.5096343,126.9478165
8,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,84.88,2001,201701,19,49600,1928,37.5074274,126.9451294
9,동작구,노량진동,메가스터디타워,노량진동 57-1 메가스터디타워,16.01,2015,201701,10,18540,3821,37.5128205,126.9416870
10,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,59.67,2001,201701,9,41000,2267,37.5074274,126.9451294
11,동작구,노량진동,쌍용예가,노량진동 332 쌍용예가,59.957,2010,201701,8,50000,2752,37.5099940,126.9436640
12,동작구,노량진동,우성,노량진동 323 우성,84.84,1997,201702,15,50000,1945,37.5096343,126.9478165
13,동작구,노량진동,형인한강,노량진동 331 형인한강,76.05,2001,201702,10,39200,1701,37.5077396,126.9482877
14,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,59.67,2001,201702,20,40500,2240,37.5074274,126.9451294
15,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,84.88,2001,201702,6,49800,1936,37.5074274,126.9451294
16,동작구,노량진동,삼익,노량진동 330 삼익,84.68,2001,201702,4,40500,1578,37.5109235,126.9451346
17,동작구,노량진동,우성,노량진동 323 우성,59.82,1997,201702,13,42500,2345,37.5096343,126.9478165
18,동작구,노량진동,메가스터디타워,노량진동 57-1 메가스터디타워,15.974,2015,201702,10,19750,4080,37.5128205,126.9416870
19,동작구,노량진동,메가스터디타워,노량진동 57-1 메가스터디타워,16.01,2015,201702,19,21000,4329,37.5128205,126.9416870
20,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,59.67,2001,201702,6,41000,2267,37.5074274,126.9451294
21,동작구,노량진동,메가스터디타워,노량진동 57-1 메가스터디타워,16.01,2015,201702,17,21000,4329,37.5128205,126.9416870
22,동작구,노량진동,메가스터디타워,노량진동 57-1 메가스터디타워,16.01,2015,201702,10,18740,3863,37.5128205,126.9416870
23,동작구,노량진동,우성,노량진동 323 우성,59.82,1997,201702,10,39500,2179,37.5096343,126.9478165
24,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,59.67,2001,201702,10,39500,2185,37.5074274,126.9451294
25,동작구,노량진동,건영(103동에서106동),노량진동 324 건영(103동에서106동),84.94,1997,201702,17,48200,1873,37.5076858,126.9492682
26,동작구,노량진동,건영(103동에서106동),노량진동 324 건영(103동에서106동),84.94,1997,201702,11,47900,1861,37.5076858,126.9492682
27,동작구,노량진동,건영(103동에서106동),노량진동 324 건영(103동에서106동),84.94,1997,201702,5,46700,1814,37.5076858,126.9492682
28,동작구,노량진동,쌍용예가,노량진동 332 쌍용예가,59.957,2010,201702,2,48000,2642,37.5099940,126.9436640
29,동작구,노량진동,쌍용예가,노량진동 332 쌍용예가,84.868,2010,201703,13,61900,2407,37.5099940,126.9436640
30,동작구,노량진동,건영(103동에서106동),노량진동 324 건영(103동에서106동),84.94,1997,201703,5,48500,1884,37.5076858,126.9492682
31,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,84.88,2001,201703,16,49400,1921,37.5074274,126.9451294
32,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,59.67,2001,201703,2,36000,1991,37.5074274,126.9451294
33,동작구,노량진동,형인한강,노량진동 331 형인한강,76.05,2001,201703,13,39500,1714,37.5077396,126.9482877
34,동작구,노량진동,우성,노량진동 323 우성,84.96,1997,201703,5,50700,1969,37.5096343,126.9478165
35,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,59.67,2001,201703,14,42000,2323,37.5074274,126.9451294
36,동작구,노량진동,쌍용예가,노량진동 332 쌍용예가,59.804,2010,201703,12,51000,2814,37.5099940,126.9436640
37,동작구,노량진동,메가스터디타워,노량진동 57-1 메가스터디타워,16.01,2015,201703,11,20000,4122,37.5128205,126.9416870
38,동작구,노량진동,메가스터디타워,노량진동 57-1 메가스터디타워,15.974,2015,201703,19,20700,4276,37.5128205,126.9416870
39,동작구,노량진동,쌍용예가,노량진동 332 쌍용예가,84.913,2010,201703,5,55700,2165,37.5099940,126.9436640
40,동작구,노량진동,우성,노량진동 323 우성,84.96,1997,201703,7,49700,1930,37.5096343,126.9478165
41,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,84.88,2001,201703,21,51000,1983,37.5074274,126.9451294
42,동작구,노량진동,우성,노량진동 323 우성,59.82,1997,201703,6,39800,2196,37.5096343,126.9478165
43,동작구,노량진동,건영(103동에서106동),노량진동 324 건영(103동에서106동),84.94,1997,201703,7,48500,1884,37.5076858,126.9492682
44,동작구,노량진동,쌍용예가,노량진동 332 쌍용예가,84.913,2010,201703,9,53000,2060,37.5099940,126.9436640
45,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,59.67,2001,201703,24,41000,2267,37.5074274,126.9451294
46,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,84.88,2001,201703,24,52500,2041,37.5074274,126.9451294
47,동작구,노량진동,우성,노량진동 323 우성,59.82,1997,201703,7,40400,2229,37.5096343,126.9478165
48,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,84.88,2001,201703,15,52000,2022,37.5074274,126.9451294
49,동작구,노량진동,우성,노량진동 323 우성,59.82,1997,201703,8,40000,2207,37.5096343,126.9478165
50,동작구,노량진동,건영(103동에서106동),노량진동 324 건영(103동에서106동),59.83,1997,201703,10,39000,2151,37.5076858,126.9492682
51,동작구,노량진동,우성,노량진동 323 우성,59.82,1997,201703,10,39900,2201,37.5096343,126.9478165
52,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,84.88,2001,201703,12,49900,1940,37.5074274,126.9451294
53,동작구,노량진동,쌍용예가,노량진동 332 쌍용예가,59.957,2010,201704,3,52100,2868,37.5099940,126.9436640
54,동작구,노량진동,건영(103동에서106동),노량진동 324 건영(103동에서106동),84.94,1997,201704,2,46800,1818,37.5076858,126.9492682
55,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,84.88,2001,201704,5,48800,1897,37.5074274,126.9451294
56,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,84.88,2001,201704,3,48000,1866,37.5074274,126.9451294
57,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,84.88,2001,201704,14,51200,1991,37.5074274,126.9451294
58,동작구,노량진동,메가스터디타워,노량진동 57-1 메가스터디타워,15.974,2015,201704,9,20000,4132,37.5128205,126.9416870
59,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,84.88,2001,201704,4,49700,1932,37.5074274,126.9451294
60,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,59.67,2001,201704,5,40000,2212,37.5074274,126.9451294
61,동작구,노량진동,우성,노량진동 323 우성,59.82,1997,201704,12,41200,2273,37.5096343,126.9478165
62,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,84.88,2001,201704,5,50000,1944,37.5074274,126.9451294
63,동작구,노량진동,쌍용예가,노량진동 332 쌍용예가,84.913,2010,201704,9,57000,2215,37.5099940,126.9436640
64,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,59.67,2001,201704,17,42500,2350,37.5074274,126.9451294
65,동작구,노량진동,삼익,노량진동 330 삼익,58.96,2001,201704,18,37000,2071,37.5109235,126.9451346
66,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,114.75,2001,201704,12,58300,1677,37.5074274,126.9451294
67,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,84.88,2001,201704,5,49800,1936,37.5074274,126.9451294
68,동작구,노량진동,메가스터디타워,노량진동 57-1 메가스터디타워,15.974,2015,201704,19,20100,4152,37.5128205,126.9416870
69,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,59.67,2001,201704,18,40200,2223,37.5074274,126.9451294
70,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,114.75,2001,201704,15,58000,1668,37.5074274,126.9451294
71,동작구,노량진동,우성,노량진동 323 우성,84.96,1997,201704,15,49000,1903,37.5096343,126.9478165
72,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,84.88,2001,201704,6,50000,1944,37.5074274,126.9451294
73,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,84.88,2001,201704,5,50500,1963,37.5074274,126.9451294
74,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,114.75,2001,201705,16,59900,1723,37.5074274,126.9451294
75,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,84.88,2001,201705,8,50700,1971,37.5074274,126.9451294
76,동작구,노량진동,건영(103동에서106동),노량진동 324 건영(103동에서106동),84.94,1997,201705,18,49500,1923,37.5076858,126.9492682
77,동작구,노량진동,건영(103동에서106동),노량진동 324 건영(103동에서106동),84.94,1997,201705,16,48500,1884,37.5076858,126.9492682
78,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,114.75,2001,201705,10,59000,1697,37.5074274,126.9451294
79,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,84.88,2001,201705,18,53200,2068,37.5074274,126.9451294
80,동작구,노량진동,노량진맨션,노량진동 227-5 노량진맨션,69.09,1974,201705,4,40000,1911,37.5076466,126.9418172
81,동작구,노량진동,메가스터디타워,노량진동 57-1 메가스터디타워,16.01,2015,201705,8,20400,4205,37.5128205,126.9416870
82,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,114.75,2001,201705,27,60000,1725,37.5074274,126.9451294
83,동작구,노량진동,우성,노량진동 323 우성,59.82,1997,201705,16,41800,2306,37.5096343,126.9478165
84,동작구,노량진동,신동아리버파크,노량진동 325 신동아리버파크,84.88,2001,201705,9,51300,1994,37.5074274,126.9451294
