,gu,dong,apt,addr,area,completion,transaction_ym,floor,price,price/pyeong,latitude,longitude
0,강북구,미아동,경남아너스빌(1356-0),미아동 1356 경남아너스빌(1356-0),84.87299999999998,2003,201701,3,39000,1516,37.6152370,127.0357185
1,강북구,미아동,두산위브트레지움,미아동 811 두산위브트레지움,84.97,2011,201701,8,46000,1787,37.6177684,127.0169390
2,강북구,미아동,삼각산아이원,미아동 1357 삼각산아이원,84.705,2003,201701,21,41800,1628,37.6152291,127.0181317
3,강북구,미아동,요진,미아동 152 요진,84.44,2005,201701,6,30000,1172,37.6334555,127.0270281
4,강북구,미아동,경남아너스빌,미아동 796 경남아너스빌,84.9134,2008,201701,4,42300,1644,37.6289073,127.0187070
5,강북구,미아동,경남아너스빌(1356-0),미아동 1356 경남아너스빌(1356-0),59.964,2003,201701,13,34800,1915,37.6152370,127.0357185
6,강북구,미아동,두산위브트레지움,미아동 811 두산위브트레지움,84.99,2011,201701,20,45800,1778,37.6177684,127.0169390
7,강북구,미아동,에스케이북한산시티,미아동 1353 에스케이북한산시티,114.85,2004,201701,10,44500,1279,37.6179820,127.0126382
8,강북구,미아동,에스케이북한산시티,미아동 1353 에스케이북한산시티,59.98,2004,201701,8,34800,1915,37.6179820,127.0126382
9,강북구,미아동,삼각산아이원,미아동 1357 삼각산아이원,114.88,2003,201701,14,48700,1399,37.6152291,127.0181317
10,강북구,미아동,경남아너스빌(1356-0),미아동 1356 경남아너스빌(1356-0),84.87299999999998,2003,201701,16,41500,1614,37.6152370,127.0357185
11,강북구,미아동,미아동부센트레빌,미아동 474 미아동부센트레빌,59.96,2006,201701,3,40700,2240,37.6136825,127.0257283
12,강북구,미아동,경남아너스빌(1356-0),미아동 1356 경남아너스빌(1356-0),114.922,2003,201701,4,44000,1263,37.6152370,127.0357185
13,강북구,미아동,에스케이북한산시티,미아동 1353 에스케이북한산시티,59.98,2004,201701,7,34900,1920,37.6179820,127.0126382
14,강북구,미아동,래미안트리베라1단지,미아동 813 래미안트리베라1단지,59.6,2010,201701,1,37000,2049,37.6139438,127.0207292
15,강북구,미아동,미아한일유앤아이,미아동 1355 미아한일유앤아이,84.552,2002,201701,11,38500,1503,37.6148297,127.0365907
16,강북구,미아동,삼각산아이원,미아동 1357 삼각산아이원,114.88,2003,201701,23,47500,1364,37.6152291,127.0181317
17,강북구,미아동,두산위브트레지움,미아동 811 두산위브트레지움,84.95,2011,201701,16,49800,1935,37.6177684,127.0169390
18,강북구,미아동,래미안트리베라1단지,미아동 813 래미안트리베라1단지,59.6,2010,201701,9,39000,2159,37.6139438,127.0207292
19,강북구,미아동,에스케이북한산시티,미아동 1353 에스케이북한산시티,114.85,2004,201701,20,44500,1279,37.6179820,127.0126382
20,강북구,미아동,벽산라이브파크,미아동 1354 벽산라이브파크,114.68,2004,201701,5,40000,1151,37.6211567,127.0108372
21,강북구,미아동,두원프라자,미아동 1351 두원프라자,56.1,1996,201701,3,23500,1382,37.6227405,127.0270191
22,강북구,미아동,에스케이북한산시티,미아동 1353 에스케이북한산시티,59.98,2004,201701,1,31200,1717,37.6179820,127.0126382
