,gu,dong,apt,addr,area,completion,transaction_ym,floor,price,price/pyeong,latitude,longitude
0,광진구,중곡동,중곡2단지,중곡동 190-26 중곡2단지,55.87,1976,201701,1,25000,1477,37.5667846,127.0784279
1,광진구,중곡동,에스케이,중곡동 292 에스케이,84.6,1999,201701,17,45500,1775,37.5688713,127.0865089
2,광진구,중곡동,중곡1단지,중곡동 191-77 중곡1단지,48.46,1976,201701,5,19000,1294,37.5663986,127.0788815
3,광진구,중곡동,성원,중곡동 681 성원,59.82,1998,201701,14,29600,1633,37.5711895,127.0796315
4,광진구,중곡동,에스케이,중곡동 292 에스케이,84.6,1999,201701,15,43300,1689,37.5688713,127.0865089
5,광진구,중곡동,중곡1단지,중곡동 191-77 중곡1단지,48.46,1976,201702,1,18800,1280,37.5663986,127.0788815
6,광진구,중곡동,에스케이,중곡동 292 에스케이,58.43,1999,201702,3,34800,1965,37.5688713,127.0865089
7,광진구,중곡동,에스케이,중곡동 292 에스케이,58.43,1999,201702,13,33900,1915,37.5688713,127.0865089
8,광진구,중곡동,성원,중곡동 681 성원,84.98,1998,201702,3,33000,1281,37.5711895,127.0796315
9,광진구,중곡동,욱현하이브Ⅲ,중곡동 699 욱현하이브Ⅲ,17.71,2012,201702,2,15400,2870,37.5545710,127.0878807
10,광진구,중곡동,성원,중곡동 681 성원,59.82,1998,201702,22,29600,1633,37.5711895,127.0796315
11,광진구,중곡동,중곡2단지,중곡동 190-26 중곡2단지,55.87,1976,201702,2,24700,1459,37.5667846,127.0784279
12,광진구,중곡동,중곡2단지,중곡동 190-26 중곡2단지,55.87,1976,201702,1,25000,1477,37.5667846,127.0784279
13,광진구,중곡동,중곡2단지,중곡동 190-26 중곡2단지,55.87,1976,201703,2,22500,1329,37.5667846,127.0784279
14,광진구,중곡동,에스케이,중곡동 292 에스케이,66.96,1999,201703,13,37300,1838,37.5688713,127.0865089
15,광진구,중곡동,삼보글로벌102동,중곡동 647-2 삼보글로벌102동,84.84,2003,201703,3,41800,1626,37.5595289,127.0802098
16,광진구,중곡동,에스케이,중곡동 292 에스케이,58.43,1999,201703,14,34600,1954,37.5688713,127.0865089
17,광진구,중곡동,에스케이,중곡동 292 에스케이,84.6,1999,201703,5,44800,1748,37.5688713,127.0865089
18,광진구,중곡동,에스케이,중곡동 292 에스케이,113.24,1999,201703,1,50000,1457,37.5688713,127.0865089
19,광진구,중곡동,성원,중곡동 681 성원,59.82,1998,201704,9,27800,1534,37.5711895,127.0796315
20,광진구,중곡동,중곡2단지,중곡동 190-26 중곡2단지,55.87,1976,201704,4,25000,1477,37.5667846,127.0784279
21,광진구,중곡동,욱현하이브Ⅲ,중곡동 699 욱현하이브Ⅲ,15.69,2012,201704,3,14000,2945,37.5545710,127.0878807
22,광진구,중곡동,에스케이,중곡동 292 에스케이,84.6,1999,201704,1,40000,1560,37.5688713,127.0865089
23,광진구,중곡동,에스케이,중곡동 292 에스케이,84.6,1999,201705,8,46500,1814,37.5688713,127.0865089
24,광진구,중곡동,에스케이,중곡동 292 에스케이,58.43,1999,201705,4,35600,2011,37.5688713,127.0865089
25,광진구,중곡동,에스케이,중곡동 292 에스케이,113.24,1999,201705,19,54300,1582,37.5688713,127.0865089
26,광진구,중곡동,에스케이,중곡동 292 에스케이,84.6,1999,201705,10,45000,1755,37.5688713,127.0865089
27,광진구,중곡동,성원,중곡동 681 성원,84.98,1998,201705,14,34800,1351,37.5711895,127.0796315
28,광진구,중곡동,성원,중곡동 681 성원,59.82,1998,201705,8,27500,1517,37.5711895,127.0796315
29,광진구,중곡동,중곡1단지,중곡동 191-77 중곡1단지,48.46,1976,201705,4,20500,1396,37.5663986,127.0788815
30,광진구,중곡동,에스케이,중곡동 292 에스케이,84.6,1999,201706,1,41900,1634,37.5688713,127.0865089
31,광진구,중곡동,에스케이,중곡동 292 에스케이,84.6,1999,201706,12,51000,1989,37.5688713,127.0865089
32,광진구,중곡동,중곡1단지,중곡동 191-77 중곡1단지,48.46,1976,201706,4,20900,1423,37.5663986,127.0788815
33,광진구,중곡동,중곡2단지,중곡동 190-26 중곡2단지,55.9,1976,201706,4,25000,1476,37.5667846,127.0784279
34,광진구,중곡동,중곡2단지,중곡동 190-26 중곡2단지,55.87,1976,201706,1,24700,1459,37.5667846,127.0784279
35,광진구,중곡동,에스케이,중곡동 292 에스케이,113.24,1999,201706,20,50800,1480,37.5688713,127.0865089
36,광진구,중곡동,중곡1단지,중곡동 191-77 중곡1단지,48.46,1976,201706,5,20300,1382,37.5663986,127.0788815
37,광진구,중곡동,중곡2단지,중곡동 190-26 중곡2단지,55.9,1976,201706,5,24750,1461,37.5667846,127.0784279
38,광진구,중곡동,중곡2단지,중곡동 190-26 중곡2단지,55.9,1976,201706,4,25500,1505,37.5667846,127.0784279
39,광진구,중곡동,욱현,중곡동 90-18 욱현,70.71,2002,201706,4,36000,1680,37.5558739,127.0905493
40,광진구,중곡동,에스케이,중곡동 292 에스케이,58.43,1999,201707,8,35000,1977,37.5688713,127.0865089
41,광진구,중곡동,중곡1단지,중곡동 191-77 중곡1단지,48.46,1976,201707,5,20500,1396,37.5663986,127.0788815
42,광진구,중곡동,중곡2단지,중곡동 190-26 중곡2단지,55.87,1976,201707,5,24900,1471,37.5667846,127.0784279
43,광진구,중곡동,한영해시안 아파트,중곡동 238-6 한영해시안 아파트,57.02,2017,201707,10,37800,2188,37.5644708,127.0769596
44,광진구,중곡동,성원,중곡동 681 성원,84.98,1998,201708,21,36000,1398,37.5711895,127.0796315
45,광진구,중곡동,중곡2단지,중곡동 190-26 중곡2단지,55.87,1976,201708,5,25000,1477,37.5667846,127.0784279
46,광진구,중곡동,중곡2단지,중곡동 190-26 중곡2단지,55.87,1976,201708,3,26000,1536,37.5667846,127.0784279
47,광진구,중곡동,에스케이,중곡동 292 에스케이,113.24,1999,201709,6,53000,1545,37.5688713,127.0865089
48,광진구,중곡동,중곡1단지,중곡동 191-77 중곡1단지,58.78,1976,201709,4,24000,1347,37.5663986,127.0788815
49,광진구,중곡동,중곡동광덕,중곡동 683 중곡동광덕,84.79,2002,201709,6,40000,1557,37.5684644,127.0793915
50,광진구,중곡동,에스케이,중곡동 292 에스케이,84.6,1999,201709,7,47500,1853,37.5688713,127.0865089
51,광진구,중곡동,중곡2단지,중곡동 190-26 중곡2단지,55.9,1976,201709,1,23800,1405,37.5667846,127.0784279
52,광진구,중곡동,중곡2단지,중곡동 190-26 중곡2단지,55.87,1976,201709,1,24900,1471,37.5667846,127.0784279
53,광진구,중곡동,중곡2단지,중곡동 190-26 중곡2단지,55.87,1976,201710,4,26900,1589,37.5667846,127.0784279
54,광진구,중곡동,성원,중곡동 681 성원,59.82,1998,201710,5,27500,1517,37.5711895,127.0796315
55,광진구,중곡동,중곡1단지,중곡동 191-77 중곡1단지,57.85,1976,201710,1,23100,1318,37.5663986,127.0788815
56,광진구,중곡동,에스케이,중곡동 292 에스케이,113.24,1999,201710,12,57000,1661,37.5688713,127.0865089
57,광진구,중곡동,중곡2단지,중곡동 190-26 중곡2단지,55.87,1976,201710,5,25000,1477,37.5667846,127.0784279
58,광진구,중곡동,중곡1단지,중곡동 191-77 중곡1단지,48.5,1976,201710,3,20000,1361,37.5663986,127.0788815
59,광진구,중곡동,성원,중곡동 681 성원,59.82,1998,201710,7,29400,1622,37.5711895,127.0796315
60,광진구,중곡동,중곡2단지,중곡동 190-26 중곡2단지,55.87,1976,201711,5,24850,1468,37.5667846,127.0784279
61,광진구,중곡동,에스케이,중곡동 292 에스케이,58.43,1999,201711,19,31000,1751,37.5688713,127.0865089
62,광진구,구의동,구의현대7단지현대홈타운,구의동 587-54 구의현대7단지현대홈타운,59.97,1997,201701,15,46800,2575,37.5368422,127.0909417
63,광진구,구의동,현대프라임,구의동 631-1 현대프라임,183.87,1997,201701,11,117000,2100,37.5374022,127.0976327
64,광진구,구의동,아차산휴먼시아,구의동 663 아차산휴먼시아,84.68,2010,201701,9,59500,2319,37.5478608,127.0930878
65,광진구,구의동,세양,구의동 658 세양,84.32,2002,201701,10,62900,2462,37.5375863,127.0939100
66,광진구,구의동,아차산한라아파트,구의동 662 아차산한라아파트,80.55,2009,201701,4,49000,2007,37.5540263,127.0970827
67,광진구,구의동,성동강변파크빌101(강변타워),구의동 657 성동강변파크빌101(강변타워),59.92,2001,201701,6,39500,2175,37.5378432,127.0927922
68,광진구,구의동,현대프라임,구의동 631-1 현대프라임,183.87,1997,201701,17,95000,1705,37.5374022,127.0976327
69,광진구,구의동,현대프라임,구의동 631-1 현대프라임,59.82,1997,201701,26,48000,2648,37.5374022,127.0976327
70,광진구,구의동,성동강변파크빌101(강변타워),구의동 657 성동강변파크빌101(강변타워),59.1,2001,201701,14,37600,2099,37.5378432,127.0927922
71,광진구,구의동,현대프라임,구의동 631-1 현대프라임,59.82,1997,201701,22,50300,2775,37.5374022,127.0976327
72,광진구,구의동,현대프라임,구의동 631-1 현대프라임,183.87,1997,201701,11,96000,1723,37.5374022,127.0976327
73,광진구,구의동,현대프라임,구의동 631-1 현대프라임,84.99,1997,201701,10,70000,2718,37.5374022,127.0976327
74,광진구,구의동,구의현대7단지현대홈타운,구의동 587-54 구의현대7단지현대홈타운,59.97,1997,201701,2,40000,2201,37.5368422,127.0909417
75,광진구,구의동,현대프라임,구의동 631-1 현대프라임,183.87,1997,201702,19,118000,2118,37.5374022,127.0976327
76,광진구,구의동,구의현대7단지현대홈타운,구의동 587-54 구의현대7단지현대홈타운,59.97,1997,201702,17,43000,2366,37.5368422,127.0909417
77,광진구,구의동,구의현대2단지,구의동 611 구의현대2단지,84.91,1996,201702,21,63500,2468,37.5386320,127.0958857
78,광진구,구의동,성동강변파크빌101(강변타워),구의동 657 성동강변파크빌101(강변타워),59.92,2001,201702,14,39000,2148,37.5378432,127.0927922
79,광진구,구의동,현대프라임,구의동 631-1 현대프라임,183.87,1997,201702,15,119000,2136,37.5374022,127.0976327
80,광진구,구의동,구의현대7단지현대홈타운,구의동 587-54 구의현대7단지현대홈타운,59.97,1997,201702,22,42000,2311,37.5368422,127.0909417
81,광진구,구의동,현대프라임,구의동 631-1 현대프라임,59.82,1997,201702,16,53000,2924,37.5374022,127.0976327
82,광진구,구의동,구의강변우성아파트,구의동 546-7 구의강변우성아파트,84.76,1992,201702,12,58000,2258,37.5353447,127.0929420
