,gu,dong,apt,addr,area,completion,transaction_ym,floor,price,price/pyeong,latitude,longitude
0,서초구,반포동,에이아이디차관주택,반포동 968 에이아이디차관주택,72.51,1974,201705,5,159000,7236,37.5006804,126.9912218
1,서초구,반포동,한신서래,반포동 70-1 한신서래,64.53,1987,201705,10,93000,4756,37.4991055,127.0008933
2,서초구,반포동,반포경남아파트,반포동 1-8 반포경남아파트,72.28,1978,201705,12,130000,5935,37.5068301,126.9990873
3,서초구,반포동,반포 주공1단지,반포동 757 반포 주공1단지,106.25,1974,201705,2,265000,8231,37.5053614,126.9890534
4,서초구,반포동,반포자이,반포동 20-43 반포자이,132.439,2009,201705,10,223000,5557,37.5063408,127.0110484
5,서초구,반포동,반포자이,반포동 20-43 반포자이,84.984,2009,201705,22,155000,6019,37.5063408,127.0110484
6,서초구,반포동,반포푸르지오,반포동 10 반포푸르지오,84.82,2000,201705,8,125000,4863,37.5038906,126.9964664
7,서초구,반포동,아크로리버파크,반포동 2-12 아크로리버파크,84.99,2016,201705,5,200000,7766,37.5054635,126.9927866
8,서초구,반포동,아크로리버파크,반포동 2-12 아크로리버파크,59.97,2016,201705,10,149000,8199,37.5054635,126.9927866
9,서초구,반포동,반포자이,반포동 20-43 반포자이,244.543,2009,201705,8,295000,3981,37.5063408,127.0110484
10,서초구,반포동,반포자이,반포동 20-43 반포자이,244.543,2009,201705,26,293000,3954,37.5063408,127.0110484
11,서초구,반포동,아크로리버파크,반포동 2-12 아크로리버파크,112.93,2016,201705,24,266500,7788,37.5054635,126.9927866
12,서초구,반포동,반포자이,반포동 20-43 반포자이,244.628,2009,201705,28,320000,4317,37.5063408,127.0110484
13,서초구,반포동,한신3차,반포동 1-1 한신3차,132.94,1978,201705,7,204300,5071,37.5068070,126.9973225
14,서초구,반포동,반포자이,반포동 20-43 반포자이,84.943,2009,201705,24,160500,6235,37.5063408,127.0110484
15,서초구,반포동,에이아이디차관주택,반포동 968 에이아이디차관주택,72.51,1974,201705,1,157000,7145,37.5006804,126.9912218
16,서초구,반포동,반포자이,반포동 20-43 반포자이,194.692,2009,201705,18,250000,4237,37.5063408,127.0110484
17,서초구,반포동,반포자이,반포동 20-43 반포자이,216.49,2009,201705,3,268000,4085,37.5063408,127.0110484
18,서초구,반포동,반포자이,반포동 20-43 반포자이,84.943,2009,201705,14,158000,6138,37.5063408,127.0110484
19,서초구,반포동,그랑빌,반포동 110-6 그랑빌,243.82,2001,201705,7,160000,2166,37.4972330,126.9946945
20,서초구,반포동,반포자이,반포동 20-43 반포자이,165.446,2009,201705,19,233500,4657,37.5063408,127.0110484
21,서초구,반포동,아크로리버파크,반포동 2-12 아크로리버파크,84.97,2016,201705,9,195000,7573,37.5054635,126.9927866
22,서초구,반포동,반포 힐스테이트,반포동 16-6 반포 힐스테이트,155.38,2012,201705,20,220000,4672,37.5011931,126.9968361
23,서초구,반포동,반포자이,반포동 20-43 반포자이,84.984,2009,201705,26,169500,6582,37.5063408,127.0110484
24,서초구,반포동,래미안퍼스티지,반포동 18-1 래미안퍼스티지,168.65,2009,201705,17,280000,5479,37.5029319,126.9992605
25,서초구,반포동,반포자이,반포동 20-43 반포자이,84.98200000000001,2009,201706,26,158000,6135,37.5063408,127.0110484
26,서초구,반포동,반포자이,반포동 20-43 반포자이,84.943,2009,201706,1,150700,5855,37.5063408,127.0110484
27,서초구,반포동,아크로리버파크,반포동 2-12 아크로리버파크,84.97,2016,201706,2,187000,7263,37.5054635,126.9927866
28,서초구,반포동,반포자이,반포동 20-43 반포자이,84.943,2009,201706,28,162500,6313,37.5063408,127.0110484
29,서초구,반포동,반포자이,반포동 20-43 반포자이,59.98,2009,201706,14,125000,6877,37.5063408,127.0110484
30,서초구,반포동,한신23차,반포동 1-15 한신23차,56.9,1983,201706,10,105000,6090,37.5046931,126.9977571
31,서초구,반포동,아크로리버파크,반포동 2-12 아크로리버파크,129.97,2016,201706,22,319000,8100,37.5054635,126.9927866
32,서초구,반포동,반포 주공1단지,반포동 757 반포 주공1단지,140.33,1974,201706,2,320000,7525,37.5053614,126.9890534
33,서초구,반포동,반포경남아파트,반포동 1-8 반포경남아파트,97.79,1978,201706,2,125000,4218,37.5068301,126.9990873
34,서초구,반포동,에이아이디차관주택,반포동 968 에이아이디차관주택,72.51,1974,201706,3,163000,7418,37.5006804,126.9912218
35,서초구,반포동,래미안퍼스티지,반포동 18-1 래미안퍼스티지,135.92,2009,201706,28,279000,6774,37.5029319,126.9992605
36,서초구,반포동,래미안퍼스티지,반포동 18-1 래미안퍼스티지,198.22,2009,201706,11,310000,5161,37.5029319,126.9992605
37,서초구,반포동,아크로리버파크,반포동 2-12 아크로리버파크,59.97,2016,201706,3,138500,7621,37.5054635,126.9927866
38,서초구,반포동,한신3차,반포동 1-1 한신3차,108.97,1978,201706,1,180000,5451,37.5068070,126.9973225
39,서초구,반포동,반포자이,반포동 20-43 반포자이,194.692,2009,201706,12,247000,4187,37.5063408,127.0110484
40,서초구,반포동,반포미도,반포동 60-4 반포미도,84.96,1987,201706,14,119500,4642,37.5013518,127.0087949
41,서초구,반포동,반포리체,반포동 30-26 반포리체,59.994,2011,201706,14,108000,5941,37.5037656,127.0133366
42,서초구,반포동,래미안퍼스티지,반포동 18-1 래미안퍼스티지,59.96,2009,201706,20,146000,8035,37.5029319,126.9992605
43,서초구,반포동,한신3차,반포동 1-1 한신3차,108.89,1978,201706,7,190000,5758,37.5068070,126.9973225
44,서초구,반포동,반포경남아파트,반포동 1-8 반포경남아파트,131.93,1978,201706,10,220000,5503,37.5068301,126.9990873
45,서초구,반포동,아크로리버파크,반포동 2-12 아크로리버파크,84.95,2016,201706,19,198000,7692,37.5054635,126.9927866
46,서초구,반포동,현대동궁아파트,반포동 64-5 현대동궁아파트,70.38,1991,201706,15,75000,3517,37.5003957,127.0020963
47,서초구,반포동,아크로리버파크,반포동 2-12 아크로리버파크,84.95,2016,201706,29,215000,8352,37.5054635,126.9927866
48,서초구,반포동,반포미도2차아파트,반포동 60-5 반포미도2차아파트,71.49,1989,201706,12,95000,4385,37.5023578,127.0075124
49,서초구,반포동,한신23차,반포동 1-15 한신23차,56.9,1983,201706,9,105000,6090,37.5046931,126.9977571
50,서초구,반포동,반포자이,반포동 20-43 반포자이,165.446,2009,201706,12,242000,4827,37.5063408,127.0110484
