,gu,dong,apt,addr,area,completion,transaction_ym,floor,price,price/pyeong,latitude,longitude
0,용산구,후암동,후암미주,후암동 423-1 후암미주,62.28,1980,201701,6,49000,2596,37.5518500,126.9757889
1,용산구,후암동,브라운스톤남산,후암동 458 브라운스톤남산,166.56,2004,201701,4,112000,2219,37.5513331,126.9762531
2,용산구,후암동,브라운스톤남산,후암동 458 브라운스톤남산,166.56,2004,201702,3,117000,2318,37.5513331,126.9762531
3,용산구,후암동,(41-1),후암동 41-1 (41-1),83.04,2012,201702,1,49900,1983,37.5509708,126.9794024
4,용산구,후암동,후암맨션,후암동 1-20 후암맨션,72.13,1974,201703,3,30000,1373,37.5522555,126.9770817
5,용산구,후암동,화인,후암동 244-99 화인,143.25,2002,201703,2,68000,1566,37.5486142,126.9791194
6,용산구,후암동,후암미주,후암동 423-1 후암미주,64.26,1980,201703,3,48300,2480,37.5518500,126.9757889
7,용산구,후암동,프리마베라빌,후암동 55-20 프리마베라빌,148.29,2003,201704,1,69150,1539,37.5496773,126.9790572
8,용산구,후암동,삼안리치10차,후암동 123-51 삼안리치10차,84.14,2005,201705,1,60000,2353,37.5494535,126.9755465
9,용산구,후암동,후암미주,후암동 423-1 후암미주,64.07,1980,201705,1,50200,2586,37.5518500,126.9757889
10,용산구,후암동,후암미주,후암동 423-1 후암미주,62.78,1980,201705,5,50000,2628,37.5518500,126.9757889
11,용산구,후암동,프리마베라빌,후암동 55-20 프리마베라빌,154.02,2003,201705,3,72000,1543,37.5496773,126.9790572
12,용산구,후암동,브라운스톤남산,후암동 458 브라운스톤남산,166.56,2004,201705,1,99500,1971,37.5513331,126.9762531
13,용산구,후암동,행남그랜드,후암동 244-5 행남그랜드,84.73,2004,201705,2,50500,1967,37.5480344,126.9781367
14,용산구,후암동,혜당,후암동 244-143 혜당,73.6,2011,201706,3,50000,2242,37.5495327,126.9786676
15,용산구,후암동,브라운스톤남산,후암동 458 브라운스톤남산,166.67,2004,201706,4,110000,2178,37.5513331,126.9762531
16,용산구,후암동,혜당,후암동 244-143 혜당,67.1,2011,201706,4,45000,2213,37.5495327,126.9786676
17,용산구,후암동,후암미주,후암동 423-1 후암미주,62.28,1980,201706,2,53000,2808,37.5518500,126.9757889
18,용산구,후암동,후암미주,후암동 423-1 후암미주,64.26,1980,201706,6,51000,2619,37.5518500,126.9757889
19,용산구,후암동,뉴후암,후암동 426 뉴후암,52.89,1973,201706,4,33000,2059,37.5512695,126.9752115
20,용산구,후암동,삼안리치10차,후암동 123-51 삼안리치10차,85.17,2005,201706,4,68000,2635,37.5494535,126.9755465
21,용산구,후암동,혜당,후암동 244-143 혜당,60.1,2011,201707,5,40000,2196,37.5495327,126.9786676
22,용산구,후암동,후암맨션,후암동 1-20 후암맨션,72.13,1974,201707,3,32600,1491,37.5522555,126.9770817
23,용산구,후암동,힐튼빌리지2차,후암동 244-88 힐튼빌리지2차,157.37,2002,201708,2,86000,1803,37.5494432,126.9782487
