,자치구,연번,시장명,주소,"건물형
(연면적)","점포수
(빈점포제외)"
,종로구,계,26,,,"11,884"
,종로구,1,광장시장,"종로구 창경궁로 88
(종로구 예지동 6-1)","18,975","1,250"
,종로구,2,통인시장,"종로구 필운대로 6길3 일대
(종로구 통인동 44 일대)","4,421",78
,종로구,3,광장전통시장,"종로구 창경궁로 88 일대
(종로구 예지동 6-1)","49,384","2,019"
,종로구,4,세운상가가동,"종로구 청계천로 159
(종로구 장사동 116-4)","10,819",347
,종로구,5,동대문종합시장,"종로구 종로 266
(종로구 종로6가 262-1)","61,476","4,000"
,종로구,6,동대문쇼핑타운,"종로구 종로272
(종로구 종로6가 289-57)","7,679",334
,종로구,7,동대문종합시장D동상가,"종로구 종로 266
(종로구 종로6가 262-1)","14,280","1,134"
,종로구,8,동문시장,"종로구 종로44길 14
(종로구 창신동 436-41)","9,739",150
,종로구,9,신설종합시장,"종로구 난계로27길 51
(종로구 숭인동 206-9)","1,691",151
,종로구,10,종로신진시장,"종로구 종로38길16 일대
(종로구 종로5가 225-21 일대)","3,400",115
,종로구,11,한일상가,"종로구 청계천로 229
(종로구 종로5가 314-7)","4,894",325
,종로구,12,"세종마을 음식문화거리
(구. 금천교시장)","종로구 자하문로 1길 일대
(종로구 내자동 1-2 일대)","18,187",112
,종로구,13,낙원상가,"종로구 삼일대로 428
(종로구 낙원동 288)","4,889",312
,종로구,14,낙원지하시장(대일상가),"종로구 삼일대로 428
(종로구 낙원동 288)","6,594",250
,종로구,15,충신시장,"종로구 율곡로22길 일대
(종로구 충신동 55-4 일대)","4,000",21
,종로구,16,창신골목시장,"종로구 종로51길 18 일대
(종로구 창신동 142-33 일대)","9,504",117
,종로구,17,동대문문구완구종합시장,"종로구 종로52길 36 일대
(종로구 창신동 390-29 일대)","7,800",130
,종로구,18,동대문상가A동,"종로구 청계천로 295
(종로구 창신동 436-79)","4,735",219
,종로구,19,동대문상가B동,"종로구 청계천로 307
(종로구 창신동 436-78)","4,735",180
,종로구,20,동대문상가C동,"종로구 청계천로 319
(종로구 창신동 436-65)","4,735",185
,종로구,21,종각지하쇼핑센터,"종로구 종로 지하 73
(종로구 종로2가 11-1 일대)","1,555",75
,종로구,22,종로4가지하쇼핑센터,"종로구 창경궁로 지하 81
(종로구 예지동 187-2 일대)","2,997",109
,종로구,23,종오지하쇼핑센터,"종로구 종로 지하 200
(종로구 종로4가 176-1 일대)","4,165",65
,종로구,24,"마전교지하쇼핑센터
(구한일상가)","종로구 동호로 지하 398
(종로구 종로5가 332-18 일대)","1,210",32
,종로구,25,동대문지하쇼핑센터,"종로구 율곡로 지하 308
(종로구 종로6가 287-1 일대)","2,285",54
,종로구,26,동묘시장,"종로구 종로 58길40
(종로구 숭인동 241-1 일대)","5,480",120
,중구,계,37,,,"21,951"
,중구,1,남대문시장,"중구 남대문시장 4길 21                  
(남창동 49번지)","64,612","5,200"
,중구,2,숭례문수입상가,중구 소월로 3                                            (남창동 51-1),"45,479",517
,중구,3,중부시장,중구 을지로 36길 35                                                       (오장동 139-11),"20,707",421
,중구,4,방산종합시장,중구 동호로 37길 20                                     (주교동 19-1),"23,336","1,074"
,중구,5,서울중앙시장,"중구 퇴계로 85길 22                     
(황학동 409번지)","24,522",342
,중구,6,신중앙시장,중구 황학동 442번지 일대,"4,311",91
,중구,7,평화시장,"중구 청계천로 274                   
(을지로6가 17)","27,704","2,020"
,중구,8,통일상가,청계천로 274(을지로6가),"15,146",604
,중구,9,동화상가,"중구 장충단로 13길 34              
(을지로6가 17-145)","18,707",722
,중구,10,남평화시장,"중구 장충단로 280-10                      
(신당동 772)","7,266",565
,중구,11,제일평화시장,"중구 마장로 13                           
(신당동 775)","9,804",858
,중구,12,"에리어식스
(벨포스트)","중구 마장로 19                        
(신당동 776)","4,379",376
,중구,13,광희패션몰,중구 마장로 1길 21                                (신당동 777),"8,601","1,150"
,중구,14,청평화시장,"중구 청계천로 334
(신당동 217-91)","12,917","1,025"
,중구,15,삼익패션타운,중구 남대문시장 8길 7                                      (남창동 5),"29,620","1,020"
,중구,16,신중부시장,중구 을지로 30길 29(오장동),"7,523",417
,중구,17,자유상가,중구 회현동1가 202                                    (회현동 202-1),"8,646",397
,중구,18,신평화패션타운,"중구 청계천로 298                        
(신당동 217-1)","13,494","1,089"
,중구,19,동평화시장,청계천로 318(신당동),"24,768","1,443"
,중구,20,인현시장,"중구 퇴계로 41길 45                        
(인현동 2가 192-3)","6,702",100
,중구,21,방산시장,중구 을지로 33길 18-1                                  (주교동 251-1),"66,961",651
,중구,22,약수시장,"중구 다산로 10길 12                          
(신당동 372-40)","15,135",68
,중구,23,소공지하도상가,"중구 소공로지하 102                        
(소공동 87)","3,517",141
,중구,24,을지로지하보도쇼핑센터,중구 을지로 88/131/218                              (을지로2가 161),"20,334",212
,중구,25,회현지하쇼핑센터,"중구 소공로지하 58                   
(충무로1가 52-41)","2,498",224
,중구,26,시청광장 지하쇼핑센터,"중구 을지로지하 12                   
(을지로2가 12)","2,087",51
,중구,27,명동역지하도상가,충무로3가 65-12(남산동3가),"2,215",70
,중구,28,을지입구지하상가,"중구 을지로지하 58                     
(을지로2가 197지하)","1,225",60
,중구,29,청계6가 지하도상가,"중구 장충단로 지하 280                      
(을지로6가 18-11)","1,094",54
,중구,30,남대문로 지하상가,중구 남대문시장길 25-3                               (남대문로4가 18-2),"2,163",81
,중구,31,명동지하쇼핑센터,중구 남대문로지하 72                            (남대문로2가 123),"3,838",58
,중구,32,테크노상가,"중구 마장로 1가길17                                 (신당동 213-51,53)","4,405",170
,중구,33,청계5가쇼핑센터,"중구 동호로 390-3                          
(방산동 4-11)","1,933",44
,중구,34,청계공구상가,중구 청계천로 124                                        (입정동 258 동명빌딩 5층),"9,329",188
,중구,35,대림상가 ,"중구 을지로 157                              
(을지로4가 9-6)","10,956",354
,중구,36,백학시장 ,중구 퇴계로 86길 22일대                          (신당동 133-32일대),,30
,중구,37,합동(새벽)시장 ,중구 청파로 459                                  (중림동 469),,64
,용산구,계,8,,,483
,용산구,1,이태원시장,"용산구 이태원로14길 6            
(이태원동 56-9)","4,484",84
,용산구,2,보광시장,"용산구 보광로 30                    
(보광동 260-8)","3,352",17
,용산구,3,만리시장,"용산구 효창원로 270              
(서계동 260-1)","7,682",31
,용산구,4,후암시장,"용산구 한강대로104길 77           
(후암동 103-6)","1,141",50
,용산구,5,용문전통시장,용산구 효창원로 40길 13                     (용문동 41-44),"6,470",149
,용산구,6,신흥시장,"용산구 신흥로 95-9                   
(용산동2가 1-480)","3,304",38
,용산구,7,이촌종합시장,"용산구 이촌로75길 16-9           
(이촌동 301-154)","5,122",104
,용산구,8,이태원제일시장,"용산구 녹사평대로52길 19                
(이태원동 274-4)","1,060",10
,성동구,계,8,,,"2,715"
,성동구,1,금남시장,"독서당로 303-7
(금호동3가 326)","1,283",102
,성동구,2,뚝도시장,"성수이로 32-15
(성수동2가 335)","5,141",130
,성동구,3,마장축산물시장,"마장로31길 40
(마장동 510-3)","26,313","1,920"
,성동구,4,행당시장상점가,성동구 왕십리로21길 17,"4,962",76
,성동구,5,성동용답상가시장,"용답25라길 23
(용답동 47-1)","29,118",186
,성동구,6,왕십리도선동상점가,"왕십리로24길 16-1
(도선동 164)","1,999",203
,성동구,7,한양대앞상점가,"마조로 17
(행당동 19-54)","3,939",68
,성동구,8,서울숲 상원길 상점가,상원12길 1,"3,576",30
,광진구,계,16,,,831
,광진구 ,1,조양시장,광진구 아차산로30길 39                                  (자양동 6-20),"6,525",40
,광진구 ,2,노룬산시장,"광진구 뚝섬로 491                     
(자양동 44-2)","1,620",20
,광진구 ,3,신성시장,"광진구 영화사로 12            
(중곡동 79-8)","1,138",25
,광진구 ,4,중곡제일시장,광진구 긴고랑로11길 11                        (중곡동 229-5),"2,760",9
,광진구 ,5,광성시장,광진구 능동로 47길 30                         (중곡동 229-15),"2,136",20
,광진구 ,6,구의시장,"광진구 광나루로 531-5             
(구의동 66-25)","2,530",7
,광진구 ,7,자양종합시장,광진구 자양번영로6길 20                             (자양동 602),"4,724",21
,광진구 ,8,한아름시장,"광진구 능동로13길 39           
(화양동 10-1)","2,456",5
,광진구 ,9,중곡제일골목시장,"광진구 긴고랑로11길 14 
(중곡동 221-6)","14,684",143
